total,child,id,pais
TRADE SUMMARY,"The U.S. trade balance with Algeria shifted from a goods trade deficit of $1.5 billion in 2019 to a goods trade surplus of $248 million in 2020. U.S. goods exports to Algeria were $726 million, down 27.4 percent ($274 million) from the previous year. Corresponding U.S. imports from Algeria were $478 million, down 80.7 percent. Algeria was the United States’ 81st largest goods export market in 2020. U.S. foreign direct investment in Algeria (stock) was $2.7 billion in 2019, a 7.7 percent decrease from 2018.",1,ALGERIA
TRADE AGREEMENTS,The United States–Algeria Trade and Investment Framework Agreement,1,ALGERIA
The United States–Algeria Trade and Investment Framework Agreement,"The United States and Algeria signed a Trade and Investment Framework Agreement (TIFA) on July 13, 2001. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Algeria.",1,ALGERIA
IMPORT POLICIES,Tariffs and Taxes,1,ALGERIA
Tariffs and Taxes,Tariffs,1,ALGERIA
Non-Tariff Barriers,Import Bans,1,ALGERIA
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,1,ALGERIA
Technical Barriers to Trade,Vehicles,1,ALGERIA
Sanitary and Phytosanitary Barriers,"The Algerian Government currently bans the production, importation, distribution, or sale of seeds that are the products of biotechnology. There is an exception for biotechnology seeds imported for research purposes. In 2020, U.S. and Algerian authorities finalized certificates for chicken-hatching eggs, day-old chicks, and bovine embryos. U.S. and Algerian veterinary authorities continue to engage in negotiations on export certificates to allow for the importation of U.S. semen, beef cattle, dairy breeding cattle, and beef and poultry meat and products.",1,ALGERIA
GOVERNMENT PROCUREMENT,"Algeria announced in August 2015 that all ministries and state-owned enterprises would be required to purchase domestically manufactured products whenever available. It further announced that the procurement of foreign goods would be permitted only with special authorization at the ministerial level and if a locally made product could not be identified. Algeria requires approval from the Council of Ministers for expenditures in foreign currency that exceed 10 billion Algerian dinars (approximately $87 million). In 2017, this requirement delayed payments to at least one U.S. company. As Algeria is not a Member of the WTO, it is neither a Party to the WTO Agreement on Government Procurement nor an observer to the WTO Committee on Government Procurement. FOREIGN TRADE BARRIERS | 9",1,ALGERIA
INTELLECTUAL PROPERTY PROTECTION,"Algeria remained on the Priority Watch List in the Special 301 Report. Significant challenges remain with respect to fair and equitable market access for U.S. intellectual property (IP) right holders in Algeria, notably, the product import bans still in place that disadvantage U.S. pharmaceutical and medical device manufacturers. The United States acknowledges the steps Algeria has taken to raise awareness of IP issues, as well as Algeria’s engagement with the United States on improving IP protection and enforcement. However, significant IP-related concerns remain, particularly regarding the enforcement of anti-piracy statutes, such as those aimed at combating the use of unlicensed software. Also, Algeria does not provide an effective system for protecting against the unfair commercial use, as well as unauthorized disclosure, of undisclosed test or other data generated to obtain marketing approval for pharmaceutical products.",1,ALGERIA
BARRIERS TO DIGITAL TRADE,"In May 2018, Algeria signed into law legislation requiring electronic commerce platforms conducting business in Algeria to register with the government and to host their websites from a data center located in Algeria. Such localization requirements impose unnecessary costs on service suppliers, particularly foreign firms, which are more likely to depend on globally distributed data centers. Algeria permits citizens to purchase goods from outside the country using international credit cards, with a maximum value per transaction of DZD 100,000 (approximately $776). Algerian foreign exchange regulations prohibit the use of certain online payment processors to transfer money from one account to another.",1,ALGERIA
INVESTMENT BARRIERS,"Prior to 2020, Algeria’s investment law required Algerian ownership of at least 51 percent in all projects involving foreign investments. On June 3, 2020, the Complementary Finance Law amended the investment law to limit the 51 percent requirement to strategic sectors, which include mining, upstream energy activities, industries related to the military, transportation infrastructure, and pharmaceutical production. As there is no single process for registering foreign investments, prospective investors must work with the ministry or ministries relevant to a particular project to negotiate, register, and set up their businesses. U.S. businesses have commented that the process is subject to political influence and that a lack of transparency in the decision-making process makes it difficult to determine the reasons for any delays. The 2020 book of government-modified specifications the automotive industry increased domestic for content requirements. Minimum local integration rates for domestic assembly plants will now be 30 percent in the first year, 35 percent after three years, 40 percent after four years, and 50 percent after five years. Additionally, the book of specifications mandates that automotive importers be 100 percent Algerian- owned, and retroactively excludes foreign companies from holding ownership stakes in importation companies and dealerships. Algerian bureaucratic requirements cause significant delays and deter many companies from attempting to enter the market. For example, several U.S. companies, particularly in the pharmaceutical sector, have reported difficulties in renewing their operating and market access licenses. Without a valid license, the process for obtaining import authorization is extremely slow.",1,ALGERIA
OTHER BARRIERS,"State-owned enterprises (SOEs) comprise about two-thirds of the Algerian economy. The national oil and gas company Sonatrach is the most prominent SOE, but SOEs are present in all sectors of the economy. SOEs can leverage their position in the market to gain advantage over privately-owned competitors. For 10 | FOREIGN TRADE BARRIERS",1,ALGERIA
TRADE SUMMARY,"The U.S. goods trade deficit with Angola was $1 million in 2020, a 99.7 percent decrease ($419 million) over 2019. U.S. goods exports to Angola were $471 million, down 12.0 percent ($64 million) from the previous year. Corresponding U.S. imports from Angola were $472 million, down 50.6 percent. Angola was the United States’ 89th largest goods export market in 2020.",2,ANGOLA
TRADE AGREEMENTS,The United States–Angola Trade and Investment Framework Agreement,2,ANGOLA
The United States–Angola Trade and Investment Framework Agreement,"The United States and Angola signed a Trade and Investment Framework Agreement (TIFA) on May 19, 2009. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Angola.",2,ANGOLA
IMPORT POLICIES,Tariffs and Taxes,2,ANGOLA
Tariffs and Taxes,Tariffs,2,ANGOLA
Non-Tariff Barriers,Import Licensing,2,ANGOLA
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,2,ANGOLA
Technical Barriers to Trade,"Technical regulations, standards, testing, and certification procedures for imports remain poorly documented, creating barriers to trade. Imports of foods and pharmaceutical products are subject to quality testing during customs clearance. Once imported into Angola, these products are subject to additional oversight by the Ministries of Commerce, Agriculture, and Health.",2,ANGOLA
Sanitary and Phytosanitary Barriers,"Angola has not introduced a risk management scheme for veterinary and sanitary control purposes. Therefore, consignments of imports classified in Chapters 2 to 23 of the Harmonized System (including animal and vegetable products and foodstuffs) must be laboratory tested prior to entry and accompanied by a health certificate.",2,ANGOLA
GOVERNMENT PROCUREMENT,"Angola’s government procurement process lacks transparency and fails to promote competition among suppliers. Information about government procurement is often not readily available from the appropriate authorities, despite the creation of a publicly accessible electronic procurement portal and a requirement that bids for procurement allocated for in the annual state budget be advertised in the government newspaper. On December 23, 2020, the Angolan National Assembly approved Law No. 41/20, revising its Public Procurement Law (PPL) and revoking Law 9/16 of June 16, 2016. The revised PPL entered into force on January 22, 2021. The new law seeks to increase transparency in public resources utilization and to simplify procedures in public works and public services procurement, as well as the acquisition of goods by public entities. The most important changes presented by the law include encouraging administrative concessions regarding the granting of rights, land or property related to public works, public services, and exploration of the public domain. The law also calls for such contracts to be carried out though public-private- partnerships. The law also provides that public procurement contract values in the amount of at least 500 million Kwanzas (approximately $770,000) or more be approved by the President of the Republic and submitted to the Tribunal de Contas (Supreme Audit Institution) for oversight. FOREIGN TRADE BARRIERS | 15 The new law introduces two new procurement procedures. The first is the Dynamic Electronic Procedure, which provides for the public acquisition of standard goods and services using an electronic platform. Any interested party that is properly registered may participate. The second spells out the procedure for emergency procurement, such as those required during a state of calamity or during a pandemic, such as COVID-19. A punitive clause for the most serious breaches of contract by an individual or corporation party to such contracts contains fines ranging from $1,650 to $3,300 for individuals, and $6,600 to $15,300 for corporations. Through the revised and simplified PPL Angola seeks to expand local investment and also attract more foreign direct investment. Angola also expects that the PPL will reduce corruption, nepotism, and fraud, while increasing competitiveness and improving the Angolan business environment. The United States will monitor implementation and enforcement of the law in light of the continued weak state of institutions and the lack of necessary technical capacity to implement and enforce laws. Angola is neither a Party to the WTO Agreement on Government Procurement, nor an observer to the WTO",2,ANGOLA
INTELLECTUAL PROPERTY PROTECTION,"Although the Angolan National Assembly continues to work to strengthen existing intellectual property (IP) legislation, the protection and enforcement of IP remains weak. Trade in counterfeit and pirated goods is widespread. The Ministry of Commerce tracks and monitors the seizures of counterfeit and pirated goods but publishes these statistics only on an basis. Stakeholder continue to have concerns regarding",2,ANGOLA
INVESTMENT BARRIERS,"A leading business challenge in Angola remains the scarcity of foreign exchange, and the resulting inability of foreign investors to repatriate profits and Angolan companies to pay foreign suppliers. The lack of foreign exchange is significantly impeding imports of products to this heavily import dependent market. International and domestic companies operating in Angola face significant delays securing foreign exchange approval for remittances to cover key operational expenses, including to import goods and expatriate salaries. Profit and dividend remittances are even more problematic for most companies. However, oil companies with Angolan exploration and production rights began selling foreign exchange directly to Angolan commercial banks on January 2, 2020. The decision ended a five-year policy that ensured that the international oil companies sold $240 million in foreign exchange monthly to the BNA, which in turn resold to commercial banks in monthly and eventually daily auctions. On August 10, 2018, the Angolan Government enacted a private investment law aimed at facilitating investment. The law removed the previous requirement that foreign investors identify a local partner with a 35 percent stake prior to investing in priority sectors, thereby allowing foreign investors to own investments in their entirety. The law also eliminated minimum levels of foreign direct investment and established firm sunset clauses for tax incentives. In addition to changes to the investment legal framework, the government created the Agency for Private Investment and Exports Promotion, a state-run agency with the goal of facilitating investment and export processes. The law, however, does not apply to investment in the petroleum, diamond, and financial sectors, which remain governed by sector-specific legislation. For example, legislation for the petroleum sector requires most foreign oil services companies to form joint venture partnerships with local companies. Foreign petroleum companies also face local content requirements requiring them to acquire low capital investment goods and services from Angolan-owned companies. For activities requiring a medium level of capital 16 | FOREIGN TRADE BARRIERS",2,ANGOLA
OTHER BARRIERS,Bribery and Corruption,2,ANGOLA
Bribery and Corruption,"Corruption remains prevalent in Angola for reasons including an inadequately trained civil service, a highly centralized bureaucracy, a lack of funding to improve capacity, and a lack of uniform implementation of anticorruption laws. “Gratuities” and other facilitation fees often are requested to secure quicker service and approval. It is common for Angolan Government officials to have substantial private business interests that are not publicly disclosed. Likewise, it is difficult to determine the ownership of some Angolan companies and the ownership structures of banks. Access to investment opportunities and public financing continues to favor those connected to the government and the ruling party. Laws and regulations regarding conflicts of interest, though now codified, are yet to be widely implemented or enforced. Some investors report pressure to form joint ventures with specific Angolan companies believed to have connections to political figures.",2,ANGOLA
Export Taxes,"On December 29, 2019, a revised customs tariff code entered into force, which among other things eliminates the 5 percent export tax on crude ores.",2,ANGOLA
Import Policies,"To facilitate payment for imports, on January 20, 2020, the BNA, within the framework of gradual liberalization of the foreign exchange market, established new rules seek to eliminate bureaucratic obstacles and exempt transactions of up to $25,000 from requiring contracts for import of goods and services.",2,ANGOLA
Foreign Exchange,"The BNA issued Notice no. 17/20 of August 3, 2020, approving new rules and procedures governing foreign exchange transactions applicable to individuals. Among other amendments, effective September 2, 2020, foreign employees working in Angola must open a local bank account into which income from their employer will be deposited in local currency; employers may no longer transfer remunerations to foreign employees’ accounts abroad. However, a foreign employee may purchase foreign currency upon presentation of a valid employment agreement and work permit. Under the notice, Angolan banking institutions should also verify that the employee income was transferred by a tax compliant employer. Foreign exchange control applies in most international trade operations related to payments for imports and is subject to pre-authorization from the National Bank of Angola (BNA). In June 2018, the BNA announced that letters of credit would be the preferred financial instrument for import and export transactions, and mandatory for all international trade transactions above €100,000 (approximately $112,500). FOREIGN TRADE BARRIERS | 17",2,ANGOLA
Non-Arab League Countries,"In recent years, press reports have occasionally surfaced regarding the implementation of officially- sanctioned boycotts of trade with Israel by governments of non-Arab League countries, particularly some member states of the 57-member Organization of the Islamic Conference (OIC), headquartered in Saudi Arabia. (Arab League and OIC memberships overlap to a degree, though the OIC membership is geographically and culturally much more diverse.) Information gathered by U.S. embassies in various non- Arab League OIC member states does not paint a clear picture of whether the OIC enforces its own boycott of Israel (as opposed to lending support to Arab League positions). The degree to which non-Arab League OIC member states enforce any aspect of a boycott against Israel also appears to vary widely. Bangladesh, for example, does impose a primary boycott on trade with Israel. By contrast, OIC members Kazakhstan, Tajikistan, and Turkmenistan impose no boycotts on trade with Israel and in some cases have actively encouraged such trade. Turkey has an active history of trade with Israel, although policy tensions between the countries have increased in recent years. FOREIGN TRADE BARRIERS | 23",3,ARAB LEAGUE
